table,field,definition,data_type,unit,nullable,null_meaning,origin,source_field_or_derivation,valid_values,interpretation_warning
manual_validation_accela_normalization.csv,inclusion_probability,Probability of selection within the stratum.,decimal,proportion,no,Never blank.,sampling design,stratum_sample_size / stratum_population.,Greater than 0 and at most 1.,Required for probability-based estimates.
manual_validation_accela_normalization.csv,sampling_weight,Inverse first-review inclusion probability.,decimal,eligible units represented,no,Never blank.,sampling design,stratum_population / stratum_sample_size.,At least 1.,Unweighted totals are descriptive under disproportionate allocation.
manual_validation_accela_normalization.csv,sample_order,Deterministic display order.,integer,,no,Never blank.,validation workflow,Sequential order after seeded selection.,Positive integer.,Not an analysis weight.
manual_validation_accela_normalization.csv,generated_from,Repository-relative source frame used by the builder.,text,,no,Never blank.,validation provenance,Recorded by the builder.,Repository-relative path list or note.,Does not itself establish source correctness.
manual_validation_accela_normalization.csv,record_id,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_normalization.csv,record_number,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_normalization.csv,source_module,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_normalization.csv,record_type,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_normalization.csv,record_status,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_normalization.csv,opened_date,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_normalization.csv,filed_date,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_normalization.csv,issued_date,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_normalization.csv,expiration_date,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_normalization.csv,completed_date,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_normalization.csv,closed_date,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_normalization.csv,updated_date,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_normalization.csv,event_date,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_normalization.csv,event_date_type,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_normalization.csv,historical_reconstruction,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_normalization.csv,temporal_evidence,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_normalization.csv,snapshot_date,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_normalization.csv,parent_record_number,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_normalization.csv,source_url,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_normalization.csv,review_status,First-review workflow state.,categorical text,,yes,Blank means not started.,reviewer,Entered under the study guide.,pending; in_progress; complete; excluded,Complete does not imply a yes outcome.
manual_validation_accela_normalization.csv,event_type_correct,Claim-specific human-review outcome.,categorical text,,yes,Blank means not reviewed.,reviewer,Evidence-based decision under the study guide.,yes; no; unknown; not_applicable,Applies only to the named validation claim.
manual_validation_accela_normalization.csv,event_date_source_field_correct,Claim-specific human-review outcome.,categorical text,,yes,Blank means not reviewed.,reviewer,Evidence-based decision under the study guide.,yes; no; unknown; not_applicable,Applies only to the named validation claim.
manual_validation_accela_normalization.csv,event_date_value_correct,Claim-specific human-review outcome.,categorical text,,yes,Blank means not reviewed.,reviewer,Evidence-based decision under the study guide.,yes; no; unknown; not_applicable,Applies only to the named validation claim.
manual_validation_accela_normalization.csv,status_normalization_correct,Claim-specific human-review outcome.,categorical text,,yes,Blank means not reviewed.,reviewer,Evidence-based decision under the study guide.,yes; no; unknown; not_applicable,Applies only to the named validation claim.
manual_validation_accela_normalization.csv,retrospective_flag_correct,Claim-specific human-review outcome.,categorical text,,yes,Blank means not reviewed.,reviewer,Evidence-based decision under the study guide.,yes; no; unknown; not_applicable,Applies only to the named validation claim.
manual_validation_accela_normalization.csv,planned_date_flag_correct,Claim-specific human-review outcome.,categorical text,,yes,Blank means not reviewed.,reviewer,Evidence-based decision under the study guide.,yes; no; unknown; not_applicable,Applies only to the named validation claim.
manual_validation_accela_normalization.csv,activity_mapping_correct,Claim-specific human-review outcome.,categorical text,,yes,Blank means not reviewed.,reviewer,Evidence-based decision under the study guide.,yes; no; unknown; not_applicable,Applies only to the named validation claim.
manual_validation_accela_normalization.csv,record_identity_correct,Claim-specific human-review outcome.,categorical text,,yes,Blank means not reviewed.,reviewer,Evidence-based decision under the study guide.,yes; no; unknown; not_applicable,Applies only to the named validation claim.
manual_validation_accela_normalization.csv,normalization_outcome,Claim-specific human-review outcome.,categorical text,,yes,Blank means not reviewed.,reviewer,Evidence-based decision under the study guide.,yes; no; unknown; not_applicable,Applies only to the named validation claim.
manual_validation_accela_normalization.csv,review_notes,Human-review provenance or evidence field.,text,,yes,Blank means not reviewed or unavailable.,reviewer,Entered under MANUAL_VALIDATION_GUIDE.md.,"Non-personal code, ISO timestamp, citation, or concise notes.",Do not enter personal contact data; AI output is not evidence.
manual_validation_accela_normalization.csv,reviewer_code,Human-review provenance or evidence field.,text,,yes,Blank means not reviewed or unavailable.,reviewer,Entered under MANUAL_VALIDATION_GUIDE.md.,"Non-personal code, ISO timestamp, citation, or concise notes.",Do not enter personal contact data; AI output is not evidence.
manual_validation_accela_normalization.csv,reviewed_at,Human-review provenance or evidence field.,text,,yes,Blank means not reviewed or unavailable.,reviewer,Entered under MANUAL_VALIDATION_GUIDE.md.,"Non-personal code, ISO timestamp, citation, or concise notes.",Do not enter personal contact data; AI output is not evidence.
manual_validation_accela_normalization_second_review.csv,validation_sample_id,Stable identifier for one validation assignment.,text,,no,Never blank.,validation design,Deterministic ID after the seeded draw.,Study prefix plus integer.,"Identifies a review unit, not a development entity."
manual_validation_accela_normalization_second_review.csv,study_id,Validation study governing the assignment.,categorical text,,no,Never blank.,validation design,Fixed by the study builder.,Registered study ID.,Do not combine unlike validation layers.
manual_validation_accela_normalization_second_review.csv,protocol_version,Version of the study protocol.,text,,no,Never blank.,validation design,Fixed by the study builder.,Semantic version.,Version changes can alter inference scope.
manual_validation_accela_normalization_second_review.csv,random_seed,Seed for deterministic pseudo-random ranking.,integer,,no,Never blank.,validation design,Explicit builder seed.,Positive integer.,Changing the seed changes assignments.
manual_validation_accela_normalization_second_review.csv,sampling_universe_sha256,SHA-256 of sorted eligible identities and strata.,text,,no,Never blank.,sampling frame,canonical_universe_hash().,64 lowercase hexadecimal characters.,Changes when the eligible frame or strata change.
manual_validation_accela_normalization_second_review.csv,sampling_universe_size,Eligible review units in the frozen frame.,integer,records/events,no,Never blank.,sampling frame,Count before selection.,Positive integer.,Interpret together with the universe hash.
manual_validation_accela_normalization_second_review.csv,target_sample_size,Requested first-review sample size.,integer,assignments,no,Never blank.,validation design,Explicit builder target.,Positive integer.,Not the number already reviewed.
manual_validation_accela_normalization_second_review.csv,sampling_stratum,Mutually exclusive design stratum.,categorical text,,no,Never blank.,sampling design,Study-specific stratum function.,Study-defined.,Use stratum weights for aggregate inference.
manual_validation_accela_normalization_second_review.csv,stratum_population,Eligible units in this stratum.,integer,records/events,no,Never blank.,sampling frame,Count by sampling_stratum.,Positive integer.,Applies only to the frozen frame.
manual_validation_accela_normalization_second_review.csv,stratum_sample_size,First-review assignments drawn from this stratum.,integer,assignments,no,Never blank.,sampling design,Deterministic proportional/minimum allocation.,Positive integer.,Small strata can be oversampled deliberately.
manual_validation_accela_normalization_second_review.csv,inclusion_probability,Probability of selection within the stratum.,decimal,proportion,no,Never blank.,sampling design,stratum_sample_size / stratum_population.,Greater than 0 and at most 1.,Required for probability-based estimates.
manual_validation_accela_normalization_second_review.csv,sampling_weight,Inverse first-review inclusion probability.,decimal,eligible units represented,no,Never blank.,sampling design,stratum_population / stratum_sample_size.,At least 1.,Unweighted totals are descriptive under disproportionate allocation.
manual_validation_accela_normalization_second_review.csv,sample_order,Deterministic display order.,integer,,no,Never blank.,validation workflow,Sequential order after seeded selection.,Positive integer.,Not an analysis weight.
manual_validation_accela_normalization_second_review.csv,generated_from,Repository-relative source frame used by the builder.,text,,no,Never blank.,validation provenance,Recorded by the builder.,Repository-relative path list or note.,Does not itself establish source correctness.
manual_validation_accela_normalization_second_review.csv,record_id,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_normalization_second_review.csv,record_number,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_normalization_second_review.csv,source_module,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_normalization_second_review.csv,record_type,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_normalization_second_review.csv,record_status,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_normalization_second_review.csv,opened_date,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_normalization_second_review.csv,filed_date,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_normalization_second_review.csv,issued_date,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_normalization_second_review.csv,expiration_date,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_normalization_second_review.csv,completed_date,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_normalization_second_review.csv,closed_date,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_normalization_second_review.csv,updated_date,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_normalization_second_review.csv,event_date,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_normalization_second_review.csv,event_date_type,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_normalization_second_review.csv,historical_reconstruction,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_normalization_second_review.csv,temporal_evidence,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_normalization_second_review.csv,snapshot_date,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_normalization_second_review.csv,parent_record_number,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_normalization_second_review.csv,source_url,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_normalization_second_review.csv,second_review_assignment_id,Independent second-review or adjudication field.,text,,yes,Blank means the blinded workflow has not reached this step.,reviewer/adjudicator,See MANUAL_VALIDATION_GUIDE.md.,Study-defined explicit vocabulary.,Never overwrite either original reviewer judgment.
manual_validation_accela_normalization_second_review.csv,second_review_selection_probability,Independent second-review or adjudication field.,text,,yes,Blank means the blinded workflow has not reached this step.,reviewer/adjudicator,See MANUAL_VALIDATION_GUIDE.md.,Study-defined explicit vocabulary.,Never overwrite either original reviewer judgment.
manual_validation_accela_normalization_second_review.csv,second_review_sampling_weight,Independent second-review or adjudication field.,text,,yes,Blank means the blinded workflow has not reached this step.,reviewer/adjudicator,See MANUAL_VALIDATION_GUIDE.md.,Study-defined explicit vocabulary.,Never overwrite either original reviewer judgment.
manual_validation_accela_normalization_second_review.csv,second_review_order,Independent second-review or adjudication field.,text,,yes,Blank means the blinded workflow has not reached this step.,reviewer/adjudicator,See MANUAL_VALIDATION_GUIDE.md.,Study-defined explicit vocabulary.,Never overwrite either original reviewer judgment.
manual_validation_accela_normalization_second_review.csv,second_review_status,Independent second-review or adjudication field.,text,,yes,Blank means the blinded workflow has not reached this step.,reviewer/adjudicator,See MANUAL_VALIDATION_GUIDE.md.,Study-defined explicit vocabulary.,Never overwrite either original reviewer judgment.
manual_validation_accela_normalization_second_review.csv,second_reviewer_code,Independent second-review or adjudication field.,text,,yes,Blank means the blinded workflow has not reached this step.,reviewer/adjudicator,See MANUAL_VALIDATION_GUIDE.md.,Study-defined explicit vocabulary.,Never overwrite either original reviewer judgment.
manual_validation_accela_normalization_second_review.csv,second_reviewed_at,Independent second-review or adjudication field.,text,,yes,Blank means the blinded workflow has not reached this step.,reviewer/adjudicator,See MANUAL_VALIDATION_GUIDE.md.,Study-defined explicit vocabulary.,Never overwrite either original reviewer judgment.
manual_validation_accela_normalization_second_review.csv,second_outcome,Independent second-review or adjudication field.,text,,yes,Blank means the blinded workflow has not reached this step.,reviewer/adjudicator,See MANUAL_VALIDATION_GUIDE.md.,Study-defined explicit vocabulary.,Never overwrite either original reviewer judgment.
manual_validation_accela_normalization_second_review.csv,first_reviewer_code,Independent second-review or adjudication field.,text,,yes,Blank means the blinded workflow has not reached this step.,reviewer/adjudicator,See MANUAL_VALIDATION_GUIDE.md.,Study-defined explicit vocabulary.,Never overwrite either original reviewer judgment.
manual_validation_accela_normalization_second_review.csv,first_outcome,Independent second-review or adjudication field.,text,,yes,Blank means the blinded workflow has not reached this step.,reviewer/adjudicator,See MANUAL_VALIDATION_GUIDE.md.,Study-defined explicit vocabulary.,Never overwrite either original reviewer judgment.
manual_validation_accela_normalization_second_review.csv,agreement,Independent second-review or adjudication field.,text,,yes,Blank means the blinded workflow has not reached this step.,reviewer/adjudicator,See MANUAL_VALIDATION_GUIDE.md.,Study-defined explicit vocabulary.,Never overwrite either original reviewer judgment.
manual_validation_accela_normalization_second_review.csv,adjudication_status,Independent second-review or adjudication field.,text,,yes,Blank means the blinded workflow has not reached this step.,reviewer/adjudicator,See MANUAL_VALIDATION_GUIDE.md.,Study-defined explicit vocabulary.,Never overwrite either original reviewer judgment.
manual_validation_accela_normalization_second_review.csv,adjudicated_outcome,Independent second-review or adjudication field.,text,,yes,Blank means the blinded workflow has not reached this step.,reviewer/adjudicator,See MANUAL_VALIDATION_GUIDE.md.,Study-defined explicit vocabulary.,Never overwrite either original reviewer judgment.
manual_validation_accela_normalization_second_review.csv,adjudication_notes,Independent second-review or adjudication field.,text,,yes,Blank means the blinded workflow has not reached this step.,reviewer/adjudicator,See MANUAL_VALIDATION_GUIDE.md.,Study-defined explicit vocabulary.,Never overwrite either original reviewer judgment.
manual_validation_accela_source_fidelity.csv,validation_sample_id,Stable identifier for one validation assignment.,text,,no,Never blank.,validation design,Deterministic ID after the seeded draw.,Study prefix plus integer.,"Identifies a review unit, not a development entity."
manual_validation_accela_source_fidelity.csv,study_id,Validation study governing the assignment.,categorical text,,no,Never blank.,validation design,Fixed by the study builder.,Registered study ID.,Do not combine unlike validation layers.
manual_validation_accela_source_fidelity.csv,protocol_version,Version of the study protocol.,text,,no,Never blank.,validation design,Fixed by the study builder.,Semantic version.,Version changes can alter inference scope.
manual_validation_accela_source_fidelity.csv,random_seed,Seed for deterministic pseudo-random ranking.,integer,,no,Never blank.,validation design,Explicit builder seed.,Positive integer.,Changing the seed changes assignments.
manual_validation_accela_source_fidelity.csv,sampling_universe_sha256,SHA-256 of sorted eligible identities and strata.,text,,no,Never blank.,sampling frame,canonical_universe_hash().,64 lowercase hexadecimal characters.,Changes when the eligible frame or strata change.
manual_validation_accela_source_fidelity.csv,sampling_universe_size,Eligible review units in the frozen frame.,integer,records/events,no,Never blank.,sampling frame,Count before selection.,Positive integer.,Interpret together with the universe hash.
manual_validation_accela_source_fidelity.csv,target_sample_size,Requested first-review sample size.,integer,assignments,no,Never blank.,validation design,Explicit builder target.,Positive integer.,Not the number already reviewed.
manual_validation_accela_source_fidelity.csv,sampling_stratum,Mutually exclusive design stratum.,categorical text,,no,Never blank.,sampling design,Study-specific stratum function.,Study-defined.,Use stratum weights for aggregate inference.
manual_validation_accela_source_fidelity.csv,stratum_population,Eligible units in this stratum.,integer,records/events,no,Never blank.,sampling frame,Count by sampling_stratum.,Positive integer.,Applies only to the frozen frame.
manual_validation_accela_source_fidelity.csv,stratum_sample_size,First-review assignments drawn from this stratum.,integer,assignments,no,Never blank.,sampling design,Deterministic proportional/minimum allocation.,Positive integer.,Small strata can be oversampled deliberately.
manual_validation_accela_source_fidelity.csv,inclusion_probability,Probability of selection within the stratum.,decimal,proportion,no,Never blank.,sampling design,stratum_sample_size / stratum_population.,Greater than 0 and at most 1.,Required for probability-based estimates.
manual_validation_accela_source_fidelity.csv,sampling_weight,Inverse first-review inclusion probability.,decimal,eligible units represented,no,Never blank.,sampling design,stratum_population / stratum_sample_size.,At least 1.,Unweighted totals are descriptive under disproportionate allocation.
manual_validation_accela_source_fidelity.csv,sample_order,Deterministic display order.,integer,,no,Never blank.,validation workflow,Sequential order after seeded selection.,Positive integer.,Not an analysis weight.
manual_validation_accela_source_fidelity.csv,generated_from,Repository-relative source frame used by the builder.,text,,no,Never blank.,validation provenance,Recorded by the builder.,Repository-relative path list or note.,Does not itself establish source correctness.
manual_validation_accela_source_fidelity.csv,record_id,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_source_fidelity.csv,record_number,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_source_fidelity.csv,source_module,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_source_fidelity.csv,record_type,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_source_fidelity.csv,record_status,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_source_fidelity.csv,opened_date,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_source_fidelity.csv,filed_date,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_source_fidelity.csv,issued_date,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_source_fidelity.csv,event_date,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_source_fidelity.csv,event_date_type,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_source_fidelity.csv,temporal_evidence,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_source_fidelity.csv,snapshot_date,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_source_fidelity.csv,source_url,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_accela_source_fidelity.csv,review_status,First-review workflow state.,categorical text,,yes,Blank means not started.,reviewer,Entered under the study guide.,pending; in_progress; complete; excluded,Complete does not imply a yes outcome.
manual_validation_accela_source_fidelity.csv,source_record_found,Claim-specific human-review outcome.,categorical text,,yes,Blank means not reviewed.,reviewer,Evidence-based decision under the study guide.,yes; no; unknown; not_applicable,Applies only to the named validation claim.
manual_validation_accela_source_fidelity.csv,record_number_matches,Claim-specific human-review outcome.,categorical text,,yes,Blank means not reviewed.,reviewer,Evidence-based decision under the study guide.,yes; no; unknown; not_applicable,Applies only to the named validation claim.
manual_validation_accela_source_fidelity.csv,module_matches,Claim-specific human-review outcome.,categorical text,,yes,Blank means not reviewed.,reviewer,Evidence-based decision under the study guide.,yes; no; unknown; not_applicable,Applies only to the named validation claim.
manual_validation_accela_source_fidelity.csv,record_type_matches,Claim-specific human-review outcome.,categorical text,,yes,Blank means not reviewed.,reviewer,Evidence-based decision under the study guide.,yes; no; unknown; not_applicable,Applies only to the named validation claim.
manual_validation_accela_source_fidelity.csv,status_matches,Claim-specific human-review outcome.,categorical text,,yes,Blank means not reviewed.,reviewer,Evidence-based decision under the study guide.,yes; no; unknown; not_applicable,Applies only to the named validation claim.
manual_validation_accela_source_fidelity.csv,primary_date_matches,Claim-specific human-review outcome.,categorical text,,yes,Blank means not reviewed.,reviewer,Evidence-based decision under the study guide.,yes; no; unknown; not_applicable,Applies only to the named validation claim.
manual_validation_accela_source_fidelity.csv,identity_matches,Claim-specific human-review outcome.,categorical text,,yes,Blank means not reviewed.,reviewer,Evidence-based decision under the study guide.,yes; no; unknown; not_applicable,Applies only to the named validation claim.
manual_validation_accela_source_fidelity.csv,source_fidelity_outcome,Claim-specific human-review outcome.,categorical text,,yes,Blank means not reviewed.,reviewer,Evidence-based decision under the study guide.,yes; no; unknown; not_applicable,Applies only to the named validation claim.
manual_validation_accela_source_fidelity.csv,evidence_reference,Human-review provenance or evidence field.,text,,yes,Blank means not reviewed or unavailable.,reviewer,Entered under MANUAL_VALIDATION_GUIDE.md.,"Non-personal code, ISO timestamp, citation, or concise notes.",Do not enter personal contact data; AI output is not evidence.
manual_validation_accela_source_fidelity.csv,review_notes,Human-review provenance or evidence field.,text,,yes,Blank means not reviewed or unavailable.,reviewer,Entered under MANUAL_VALIDATION_GUIDE.md.,"Non-personal code, ISO timestamp, citation, or concise notes.",Do not enter personal contact data; AI output is not evidence.
